code,T0,severity,event_id
000006,2024-11-12,0.42842845082189657,000006_2024-11-12
000009,2026-01-23,0.42363113304485916,000009_2026-01-23
000016,2025-10-27,0.4915540610030717,000016_2025-10-27
000020,2024-12-12,0.3300000045631825,000020_2024-12-12
000045,2024-01-02,0.3921404689861097,000045_2024-01-02
000050,2024-03-01,0.29122053391285924,000050_2024-03-01
000055,2026-01-14,0.27146172882260844,000055_2026-01-14
000056,2025-07-01,0.4093567001270448,000056_2025-07-01
000058,2024-12-02,0.2855759307602948,000058_2024-12-02
000063,2025-02-24,0.30684934095545674,000063_2025-02-24
000068,2024-03-20,0.43518516881686314,000068_2024-03-20
000078,2026-01-14,0.7126948928749547,000078_2026-01-14
000096,2024-01-02,0.23271500881853366,000096_2024-01-02
000100,2024-11-11,0.28037384127859094,000100_2024-11-11
000166,2024-11-07,0.2509668131092578,000166_2024-11-07
000409,2026-01-14,0.39403212324266396,000409_2026-01-14
000421,2024-12-03,0.33620689468895937,000421_2024-12-03
000504,2025-09-12,0.19866918495008443,000504_2025-09-12
000505,2025-12-29,0.4417314107484061,000505_2025-12-29
000514,2026-01-20,0.33026959015390733,000514_2026-01-20
000520,2024-12-13,0.4012539157779249,000520_2024-12-13
000521,2024-12-12,0.25621626330521824,000521_2024-12-12
000523,2025-06-04,0.12534819651591184,000523_2025-06-04
000526,2024-06-20,0.3706186995898592,000526_2024-06-20
000529,2026-02-09,0.301831506228325,000529_2026-02-09
000548,2025-12-03,0.22719737811316731,000548_2025-12-03
000550,2024-11-12,0.3730990077414341,000550_2024-11-12
000551,2024-01-02,0.3764044973412244,000551_2024-01-02
000557,2025-08-26,0.17294516207912883,000557_2025-08-26
000558,2026-02-10,0.4416517346079649,000558_2026-02-10
000560,2024-12-12,0.2846153947617079,000560_2024-12-12
000563,2025-10-29,0.12630236155515082,000563_2025-10-29
000564,2025-12-22,0.48888889159014287,000564_2025-12-22
000582,2025-05-22,0.12164128529528305,000582_2025-05-22
000598,2025-07-14,0.12877795472282455,000598_2025-07-14
000601,2025-08-21,0.1754386135669537,000601_2025-08-21
000612,2026-03-02,0.33538929285557667,000612_2026-03-02
000639,2026-03-27,0.6593749902309364,000639_2026-03-27
000650,2026-01-14,0.21044302292185885,000650_2026-01-14
000651,2025-08-25,0.1667842612566528,000651_2025-08-25
000656,2026-01-29,0.2866666990689966,000656_2026-01-29
000661,2026-01-12,0.39241622373339885,000661_2026-01-12
000665,2025-11-17,0.36338415674630686,000665_2025-11-17
000676,2024-10-23,0.40753139299236957,000676_2024-10-23
000677,2025-07-24,0.3181818307883761,000677_2025-07-24
000686,2026-01-06,0.24447383627868333,000686_2026-01-06
000702,2024-12-13,0.303510749455466,000702_2024-12-13
000712,2025-10-13,0.32358942562189597,000712_2025-10-13
000727,2025-03-07,0.26282052750897583,000727_2025-03-07
000728,2024-11-07,0.24001979450426836,000728_2024-11-07
000750,2024-11-07,0.3411551931864418,000750_2024-11-07
000751,2026-03-02,0.4468486819655852,000751_2026-03-02
000752,2026-01-26,0.3541850139454817,000752_2026-01-26
000757,2025-10-27,0.2558139503758636,000757_2025-10-27
000758,2026-02-27,0.3875784923056748,000758_2026-02-27
000766,2024-05-09,0.3210137217708126,000766_2024-05-09
000768,2026-03-02,0.37097636654274724,000768_2026-03-02
000777,2024-04-22,0.37330480823224454,000777_2024-04-22
000783,2024-11-07,0.25510205689167587,000783_2024-11-07
000795,2025-10-13,0.29982969158513645,000795_2025-10-13
000796,2026-02-05,0.48660712777507953,000796_2026-02-05
000799,2025-09-11,0.3670350270090615,000799_2025-09-11
000828,2026-02-11,0.12564426051869468,000828_2026-02-11
000839,2024-12-12,0.33333331292482854,000839_2024-12-12
000856,2025-02-20,0.4709371181094336,000856_2025-02-20
000876,2025-11-10,0.19203982311682044,000876_2025-11-10
000886,2026-02-10,0.39703703023421566,000886_2026-02-10
000900,2026-03-12,0.17625074066604643,000900_2026-03-12
000903,2025-07-03,0.4444444444444444,000903_2025-07-03
000915,2026-01-06,0.21136679818317697,000915_2026-01-06
000917,2026-02-24,0.484939210227426,000917_2026-02-24
000937,2024-05-29,0.321296309162438,000937_2024-05-29
000958,2026-01-14,0.25852273209111865,000958_2026-01-14
000960,2026-03-02,0.39952564967895615,000960_2026-03-02
000962,2024-01-02,0.3610023684642633,000962_2024-01-02
000966,2025-07-07,0.11102968927517971,000966_2025-07-07
001236,2025-08-15,0.2826880660538567,001236_2025-08-15
001239,2025-10-15,0.23076920295141035,001239_2025-10-15
001296,2026-01-23,0.46867870842529025,001296_2026-01-23
001313,2025-05-08,0.17977829344798296,001313_2025-05-08
001314,2025-10-20,0.311440314386842,001314_2025-10-20
001318,2025-12-01,0.3318155726313915,001318_2025-12-01
001333,2025-04-01,0.33597516251414794,001333_2025-04-01
001387,2026-02-09,0.29949604689384945,001387_2026-02-09
001696,2024-12-02,0.40013476341507465,001696_2024-12-02
002003,2025-03-19,0.19230770456509905,002003_2025-03-19
002004,2026-03-13,0.2623821370050037,002004_2026-03-13
002014,2024-04-25,0.23973875922762133,002014_2024-04-25
002032,2025-07-23,0.17773624065179017,002032_2025-07-23
002035,2024-12-12,0.24052133822827912,002035_2024-12-12
002039,2024-07-02,0.24167107532029267,002039_2024-07-02
002043,2024-12-12,0.23869943843309385,002043_2024-12-12
002045,2026-01-14,0.5268593414967562,002045_2026-01-14
002055,2025-11-17,0.2778523200483034,002055_2025-11-17
002059,2026-01-15,0.2849740668093453,002059_2026-01-15
002073,2025-09-08,0.19354840087947997,002073_2025-09-08
002086,2025-07-02,0.24115759592919256,002086_2025-07-02
002093,2026-01-12,0.5106234438479379,002093_2026-01-12
002094,2025-08-20,0.23286180247945745,002094_2025-08-20
002104,2026-02-27,0.5214343351670964,002104_2026-02-27
002110,2025-12-08,0.39468302200037964,002110_2025-12-08
002122,2024-03-06,0.5539215561852286,002122_2024-03-06
002132,2025-04-01,0.327830147881661,002132_2025-04-01
002134,2024-01-02,0.4732547745324636,002134_2024-01-02
002148,2025-11-03,0.2756866801447429,002148_2025-11-03
002154,2024-02-19,0.3916287192174844,002154_2024-02-19
002156,2024-12-30,0.2807073249366756,002156_2024-12-30
002157,2025-02-13,0.10033445498193583,002157_2025-02-13
002165,2025-07-02,0.3157407453752232,002165_2025-07-02
002172,2026-01-13,0.3869565238337131,002172_2026-01-13
002173,2026-03-13,0.5001576752634271,002173_2026-03-13
002178,2026-01-12,0.39628037949659367,002178_2026-01-12
002185,2024-11-11,0.36395512935167446,002185_2024-11-11
002186,2026-01-19,0.3433782892825368,002186_2026-01-19
002199,2025-09-30,0.3695652430747129,002199_2025-09-30
002211,2024-03-20,0.5863377518397841,002211_2024-03-20
002215,2025-11-06,0.24746291109490093,002215_2025-11-06
002223,2024-07-22,0.20969418481008692,002223_2024-07-22
002227,2025-11-14,0.5226161275873953,002227_2025-11-14
002232,2025-08-28,0.3273993909140133,002232_2025-08-28
002239,2025-09-22,0.2089136798592708,002239_2025-09-22
002243,2026-02-25,0.44592002012128834,002243_2026-02-25
002249,2025-10-28,0.33081570085261125,002249_2025-10-28
002251,2025-04-25,0.3709239361806044,002251_2025-04-25
002252,2024-12-12,0.1424870036374021,002252_2024-12-12
002258,2026-03-12,0.3093146018557201,002258_2026-03-12
002259,2026-02-06,0.46909667936204275,002259_2026-02-06
002265,2025-10-13,0.38878783550099477,002265_2025-10-13
002276,2025-03-19,0.3841463720828586,002276_2025-03-19
002277,2026-01-12,0.3409915528121914,002277_2026-01-12
002278,2024-01-04,0.44628101000134035,002278_2024-01-04
002286,2025-07-02,0.3177205693087318,002286_2025-07-02
002301,2025-12-09,0.23659673762963251,002301_2025-12-09
002313,2026-01-12,0.34719708857865383,002313_2026-01-12
002315,2024-05-07,0.3383780928285421,002315_2024-05-07
002319,2025-07-24,0.25666903861338863,002319_2025-07-24
002347,2024-12-10,0.568951267856974,002347_2024-12-10
002355,2025-06-30,0.30276383366719956,002355_2025-06-30
002356,2026-03-02,0.4655172593771397,002356_2026-03-02
002365,2025-10-15,0.34629153477882857,002365_2025-10-15
002368,2025-08-22,0.27263645382563584,002368_2025-08-22
002379,2026-03-12,0.5609024707625264,002379_2026-03-12
002387,2025-03-17,0.3838936844945153,002387_2025-03-17
002394,2024-01-04,0.31082655267061093,002394_2024-01-04
002398,2026-01-23,0.42298711721723947,002398_2026-01-23
002401,2025-11-03,0.2023609134725195,002401_2025-11-03
002402,2025-10-30,0.49742497005749,002402_2025-10-30
002413,2026-03-02,0.5433984899963313,002413_2026-03-02
002416,2024-04-01,0.31194797755409265,002416_2024-04-01
002419,2026-01-12,0.31058308420756875,002419_2026-01-12
002427,2025-08-20,0.26463417167324393,002427_2025-08-20
002453,2026-01-12,0.41430698909241603,002453_2026-01-12
002456,2024-11-12,0.40762622495455175,002456_2024-11-12
002468,2025-09-22,0.3396325453505978,002468_2025-09-22
002471,2024-01-02,0.4106582936758654,002471_2024-01-02
